	Socioeconomic Score	Study Hours	Sleep Hours	Attendance (%)	Grades	Sleep + Study	Pass/Fail	Grades Percentile	Ranked Percentile	Percentile Number
154	0.96291	3.6	8.3	74.0	46.0	11.9	Fail	14	73	14
1320	0.94915	3.5	8.9	64.0	46.0	12.4	Fail	14	73	14
932	0.93181	3.4	9.9	41.0	46.0	13.3	Fail	14	73	14
85	0.60547	6.8	7.4	61.0	46.0	14.2	Fail	14	73	14
1001	0.1361	6.5	9.4	50.0	46.0	15.9	Fail	14	73	14
398	0.48222	6.6	9.3	81.0	46.0	15.9	Fail	14	73	14
18	0.92323	3.9	9.8	69.0	46.0	13.700000000000001	Fail	14	73	14
998	0.97211	2.9	5.4	42.0	46.0	8.3	Fail	14	73	14
507	0.26555	6.9	5.4	58.0	46.0	12.3	Fail	14	73	14
490	0.91857	4.0	9.2	55.0	46.0	13.2	Fail	14	73	14
78	0.26158	6.7	6.3	63.0	46.0	13.0	Fail	14	73	14
66	0.15984	6.5	9.7	68.0	46.0	16.2	Fail	14	73	14
377	0.11925	6.5	8.5	67.0	46.0	15.0	Fail	14	73	14
816	0.96287	3.4	6.4	46.0	46.0	9.8	Fail	14	73	14
1244	0.66717	6.2	8.8	51.0	46.0	15.0	Fail	14	73	14
1248	0.73144	6.3	7.1	65.0	46.0	13.399999999999999	Fail	14	73	14
817	0.34944	6.7	8.8	50.0	46.0	15.5	Fail	14	73	14
516	0.82269	5.1	8.3	53.0	45.0	13.4	Fail	13	71	13
569	0.18663	6.6	5.2	53.0	45.0	11.8	Fail	13	71	13
221	0.38645	6.3	7.8	58.0	45.0	14.1	Fail	13	71	13
241	0.14946	6.4	8.2	72.0	45.0	14.6	Fail	13	71	13
801	0.5404	6.5	9.5	57.0	45.0	16.0	Fail	13	71	13
28	0.73168	5.9	8.1	58.0	45.0	14.0	Fail	13	71	13
1006	0.29338	6.6	8.7	78.0	45.0	15.299999999999999	Fail	13	71	13
885	0.3039	6.5	7.4	57.0	45.0	13.9	Fail	13	71	13
480	0.9525	2.9	9.3	40.0	45.0	12.200000000000001	Fail	13	71	13
1245	0.82338	5.0	9.8	55.0	45.0	14.8	Fail	13	71	13
1040	0.80706	5.3	9.3	56.0	45.0	14.600000000000001	Fail	13	71	13
1030	0.52157	6.3	8.7	65.0	45.0	15.0	Fail	13	71	13
1037	0.45475	6.5	9.7	75.0	45.0	16.2	Fail	13	71	13
771	0.67545	6.3	9.4	63.0	45.0	15.7	Fail	13	71	13
773	0.46855	6.6	8.7	64.0	45.0	15.299999999999999	Fail	13	71	13
737	0.71998	6.2	9.6	70.0	45.0	15.8	Fail	13	71	13
1312	0.94222	3.9	5.4	51.0	45.0	9.3	Fail	13	71	13
982	0.92749	3.9	9.0	65.0	45.0	12.9	Fail	13	71	13
1334	0.47019	6.3	9.2	46.0	45.0	15.5	Fail	13	71	13
873	0.11138	6.8	9.1	57.0	45.0	15.899999999999999	Fail	13	71	13
928	0.80167	5.6	9.7	67.0	45.0	15.299999999999999	Fail	13	71	13
527	0.32755	6.7	6.9	75.0	45.0	13.600000000000001	Fail	13	71	13
98	0.94165	3.8	6.1	55.0	45.0	9.899999999999999	Fail	13	71	13
190	0.53167	6.2	8.2	66.0	44.0	14.399999999999999	Fail	12	69	12
795	0.60571	6.0	9.0	61.0	44.0	15.0	Fail	12	69	12
600	0.43929	6.1	8.1	42.0	44.0	14.2	Fail	12	69	12
748	0.41638	6.3	7.3	71.0	44.0	13.6	Fail	12	69	12
327	0.20891	6.3	9.7	78.0	44.0	16.0	Fail	12	69	12
1093	0.85153	5.4	7.4	62.0	44.0	12.8	Fail	12	69	12
536	0.96931	3.1	6.4	58.0	44.0	9.5	Fail	12	69	12
793	0.88767	4.2	9.6	59.0	44.0	13.8	Fail	12	69	12
383	0.92835	4.0	6.5	63.0	44.0	10.5	Fail	12	69	12
206	0.71147	6.1	7.3	57.0	44.0	13.399999999999999	Fail	12	69	12
170	0.57926	6.3	8.5	71.0	44.0	14.8	Fail	12	69	12
165	0.60177	6.2	7.7	70.0	44.0	13.9	Fail	12	69	12
1216	0.93347	3.4	8.8	49.0	44.0	12.200000000000001	Fail	12	69	12
321	0.93496	3.6	9.5	68.0	44.0	13.1	Fail	12	69	12
917	0.98493	2.8	5.4	62.0	44.0	8.2	Fail	12	69	12
477	0.7733	5.7	7.8	47.0	44.0	13.5	Fail	12	69	12
938	0.94209	3.4	8.1	57.0	44.0	11.5	Fail	12	69	12
443	0.9471	3.9	5.6	66.0	44.0	9.5	Fail	12	69	12
1008	0.17801	6.1	6.6	53.0	44.0	12.7	Fail	12	69	12
1012	0.29157	6.4	6.2	61.0	44.0	12.600000000000001	Fail	12	69	12
685	0.69165	5.9	9.3	62.0	44.0	15.200000000000001	Fail	12	69	12
1350	0.9453	3.1	9.6	49.0	44.0	12.7	Fail	12	69	12
1371	0.71956	6.0	9.6	79.0	44.0	15.6	Fail	12	69	12
656	0.35623	6.3	9.6	67.0	44.0	15.899999999999999	Fail	12	69	12
643	0.93764	3.9	8.0	69.0	44.0	11.9	Fail	12	69	12
1373	0.84886	4.9	8.5	54.0	44.0	13.4	Fail	12	69	12
32	0.27332	6.1	8.9	53.0	43.0	15.0	Fail	11	68	11
650	0.27574	5.9	8.1	45.0	43.0	14.0	Fail	11	68	11
698	0.40407	6.2	9.6	58.0	43.0	15.8	Fail	11	68	11
1205	0.7647	5.6	9.0	73.0	43.0	14.6	Fail	11	68	11
261	0.96375	3.2	5.2	47.0	43.0	8.4	Fail	11	68	11
941	0.23422	6.1	7.0	68.0	43.0	13.1	Fail	11	68	11
167	0.89116	3.7	9.5	53.0	43.0	13.2	Fail	11	68	11
1238	0.56989	6.1	9.5	56.0	43.0	15.6	Fail	11	68	11
756	0.12592	6.3	6.5	68.0	43.0	12.8	Fail	11	68	11
571	0.16504	6.2	7.5	56.0	43.0	13.7	Fail	11	68	11
602	0.13263	6.1	6.4	83.0	43.0	12.5	Fail	11	68	11
707	0.54275	6.4	9.0	66.0	43.0	15.4	Fail	11	68	11
1277	0.93792	3.7	7.1	58.0	43.0	10.8	Fail	11	68	11
891	0.89015	3.8	8.5	55.0	42.0	12.3	Fail	10	67	10
152	0.7452	5.9	8.4	78.0	42.0	14.3	Fail	10	67	10
619	0.90481	3.8	7.4	50.0	42.0	11.2	Fail	10	67	10
833	0.3447	5.7	7.8	48.0	42.0	13.5	Fail	10	67	10
546	0.3331	5.9	8.8	66.0	42.0	14.700000000000001	Fail	10	67	10
400	0.1302	6.2	8.5	53.0	42.0	14.7	Fail	10	67	10
1072	0.98653	2.3	6.6	49.0	42.0	8.899999999999999	Fail	10	67	10
1361	0.2974	6.1	7.4	46.0	42.0	13.5	Fail	10	67	10
1148	0.81044	5.1	8.9	77.0	42.0	14.0	Fail	10	67	10
1263	0.87565	3.6	8.9	41.0	42.0	12.5	Fail	10	67	10
776	0.87466	3.7	9.0	50.0	42.0	12.7	Fail	10	67	10
396	0.77205	5.1	9.4	62.0	42.0	14.5	Fail	10	67	10
496	0.69114	5.7	9.2	73.0	42.0	14.899999999999999	Fail	10	67	10
1179	0.56831	6.0	8.7	56.0	42.0	14.7	Fail	10	67	10
1182	0.70906	5.7	9.6	63.0	42.0	15.3	Fail	10	67	10
987	0.48199	6.0	6.3	45.0	42.0	12.3	Fail	10	67	10
460	0.9514	2.9	8.3	53.0	42.0	11.200000000000001	Fail	10	67	10
1328	0.85221	4.2	8.2	48.0	42.0	12.399999999999999	Fail	10	67	10
654	0.2802	6.1	8.7	60.0	42.0	14.799999999999999	Fail	10	67	10
406	0.54752	6.0	8.4	56.0	42.0	14.4	Fail	10	67	10
607	0.8993	4.0	8.1	58.0	42.0	12.1	Fail	10	67	10
699	0.17008	6.2	6.8	69.0	42.0	13.0	Fail	10	67	10
135	0.31144	6.0	8.7	82.0	42.0	14.7	Fail	10	67	10
1101	0.56257	6.0	9.6	64.0	42.0	15.6	Fail	10	67	10
1133	0.434	6.0	8.6	66.0	42.0	14.6	Fail	10	67	10
1092	0.53627	6.0	8.3	56.0	42.0	14.3	Fail	10	67	10
334	0.52029	5.8	8.5	51.0	42.0	14.3	Fail	10	67	10
796	0.49004	5.9	6.2	69.0	41.0	12.100000000000001	Fail	9	65	9
1251	0.25735	5.7	9.8	46.0	41.0	15.5	Fail	9	65	9
811	0.67845	5.3	8.4	49.0	41.0	13.7	Fail	9	65	9
168	0.46406	5.5	8.2	83.0	41.0	13.7	Fail	9	65	9
1071	0.8449	5.1	7.5	67.0	41.0	12.6	Fail	9	65	9
792	0.1848	5.8	8.2	51.0	41.0	14.0	Fail	9	65	9
385	0.9453	3.4	5.1	51.0	41.0	8.5	Fail	9	65	9
365	0.86541	3.9	9.1	54.0	41.0	13.0	Fail	9	65	9
266	0.85273	3.9	9.0	55.0	41.0	12.9	Fail	9	65	9
1184	0.88198	4.1	8.9	67.0	41.0	13.0	Fail	9	65	9
319	0.74102	5.7	7.1	56.0	41.0	12.8	Fail	9	65	9
291	0.90401	3.8	8.0	58.0	41.0	11.8	Fail	9	65	9
884	0.31483	5.9	6.9	63.0	41.0	12.8	Fail	9	65	9
852	0.52608	5.6	10.0	58.0	41.0	15.6	Fail	9	65	9
664	0.87582	3.8	8.9	53.0	41.0	12.7	Fail	9	65	9
1383	0.44549	5.5	8.0	51.0	41.0	13.5	Fail	9	65	9
1100	0.801	5.1	7.5	62.0	41.0	12.6	Fail	9	65	9
355	0.82264	4.8	9.7	76.0	41.0	14.5	Fail	9	65	9
715	0.89226	3.9	9.0	64.0	41.0	12.9	Fail	9	65	9
70	0.18247	5.8	9.4	64.0	41.0	15.2	Fail	9	65	9
1286	0.92848	3.5	7.4	53.0	41.0	10.9	Fail	9	65	9
1367	0.52169	5.8	9.4	74.0	41.0	15.2	Fail	9	65	9
1127	0.89312	3.2	8.7	41.0	41.0	11.899999999999999	Fail	9	65	9
1294	0.4808	5.8	8.6	51.0	41.0	14.399999999999999	Fail	9	65	9
520	0.72743	5.7	8.0	69.0	41.0	13.7	Fail	9	65	9
1163	0.6163	5.5	9.2	51.0	41.0	14.7	Fail	9	65	9
895	0.89824	3.8	8.0	63.0	41.0	11.8	Fail	9	65	9
1164	0.58933	6.0	6.7	56.0	41.0	12.7	Fail	9	65	9
1016	0.8517	3.7	9.3	50.0	40.0	13.0	Fail	8	63	8
866	0.50451	5.9	5.7	69.0	40.0	11.600000000000001	Fail	8	63	8
285	0.89948	3.5	9.8	69.0	40.0	13.3	Fail	8	63	8
944	0.83306	5.0	7.6	64.0	40.0	12.6	Fail	8	63	8
1171	0.90507	3.4	9.1	59.0	40.0	12.5	Fail	8	63	8
1209	0.90625	3.7	9.3	71.0	40.0	13.0	Fail	8	63	8
174	0.41469	5.6	8.1	65.0	40.0	13.7	Fail	8	63	8
594	0.85587	4.2	8.2	60.0	40.0	12.399999999999999	Fail	8	63	8
575	0.89632	3.2	9.0	46.0	40.0	12.2	Fail	8	63	8
1136	0.29544	5.9	6.6	60.0	40.0	12.5	Fail	8	63	8
826	0.1079	5.8	9.7	60.0	40.0	15.5	Fail	8	63	8
116	0.93385	2.8	8.1	45.0	40.0	10.899999999999999	Fail	8	63	8
580	0.8042	4.7	9.5	72.0	40.0	14.2	Fail	8	63	8
356	0.45967	5.5	9.0	80.0	40.0	14.5	Fail	8	63	8
1318	0.40398	5.7	7.5	61.0	40.0	13.2	Fail	8	63	8
346	0.43737	5.7	9.8	54.0	40.0	15.5	Fail	8	63	8
631	0.90882	3.3	9.7	60.0	40.0	13.0	Fail	8	63	8
628	0.1703	5.6	6.4	78.0	40.0	12.0	Fail	8	63	8
503	0.31109	5.6	6.2	46.0	40.0	11.8	Fail	8	63	8
865	0.70085	4.9	9.8	46.0	40.0	14.700000000000001	Fail	8	63	8
277	0.96394	2.0	9.5	48.0	40.0	11.5	Fail	8	63	8
564	0.72909	5.4	7.2	68.0	40.0	12.600000000000001	Fail	8	63	8
952	0.93404	2.7	5.9	44.0	40.0	8.600000000000001	Fail	8	63	8
1204	0.85223	4.9	4.8	53.0	40.0	9.7	Fail	8	63	8
312	0.18435	5.6	5.2	52.0	40.0	10.8	Fail	8	63	8
484	0.4062	5.4	7.9	66.0	40.0	13.3	Fail	8	63	8
294	0.11731	5.6	8.5	75.0	40.0	14.1	Fail	8	63	8
514	0.83279	3.4	9.6	42.0	40.0	13.0	Fail	8	63	8
1234	0.55112	5.8	7.6	71.0	40.0	13.399999999999999	Fail	8	63	8
540	0.36249	5.8	10.0	56.0	40.0	15.8	Fail	8	63	8
1073	0.90036	3.1	9.2	49.0	39.0	12.299999999999999	Fail	6	61	6
708	0.84028	4.0	9.6	56.0	39.0	13.6	Fail	6	61	6
879	0.26319	5.6	6.1	61.0	39.0	11.7	Fail	6	61	6
309	0.7252	5.6	5.6	77.0	39.0	11.2	Fail	6	61	6
874	0.29552	5.5	9.8	78.0	39.0	15.3	Fail	6	61	6
262	0.89109	3.6	9.5	63.0	39.0	13.1	Fail	6	61	6
660	0.19253	5.3	6.0	54.0	39.0	11.3	Fail	6	61	6
413	0.86313	3.5	9.9	48.0	39.0	13.4	Fail	6	61	6
421	0.67852	5.5	5.4	51.0	39.0	10.9	Fail	6	61	6
951	0.57402	5.4	7.9	69.0	39.0	13.3	Fail	6	61	6
1339	0.28471	5.7	5.6	58.0	39.0	11.3	Fail	6	61	6
687	0.1897	5.4	7.4	63.0	39.0	12.8	Fail	6	61	6
1349	0.8693	3.7	9.5	54.0	39.0	13.2	Fail	6	61	6
19	0.87614	3.5	8.3	55.0	39.0	11.8	Fail	6	61	6
1199	0.9336	3.6	5.1	61.0	39.0	8.7	Fail	6	61	6
1325	0.50688	5.4	8.3	60.0	39.0	13.700000000000001	Fail	6	61	6
1162	0.58683	5.4	8.1	60.0	39.0	13.5	Fail	6	61	6
1060	0.68875	4.9	8.6	51.0	39.0	13.5	Fail	6	61	6
404	0.50854	5.4	8.9	71.0	39.0	14.3	Fail	6	61	6
1282	0.47785	5.3	8.2	51.0	39.0	13.5	Fail	6	61	6
808	0.79003	4.8	8.6	67.0	39.0	13.399999999999999	Fail	6	61	6
192	0.60975	5.3	8.8	51.0	39.0	14.100000000000001	Fail	6	61	6
993	0.89805	3.1	8.2	50.0	39.0	11.299999999999999	Fail	6	61	6
8	0.4666	5.4	8.8	67.0	39.0	14.200000000000001	Fail	6	61	6
387	0.27856	5.6	9.8	47.0	39.0	15.4	Fail	6	61	6
605	0.86386	3.4	7.8	44.0	38.0	11.2	Fail	5	59	5
250	0.41039	5.2	7.4	66.0	38.0	12.600000000000001	Fail	5	59	5
1120	0.34588	5.4	8.2	68.0	38.0	13.6	Fail	5	59	5
1114	0.69035	5.0	8.9	57.0	38.0	13.9	Fail	5	59	5
130	0.8447	3.4	8.5	43.0	38.0	11.9	Fail	5	59	5
201	0.87074	3.0	9.7	46.0	38.0	12.7	Fail	5	59	5
883	0.284	5.3	8.6	65.0	38.0	13.899999999999999	Fail	5	59	5
81	0.18915	5.5	5.5	54.0	38.0	11.0	Fail	5	59	5
301	0.62301	5.1	6.3	56.0	38.0	11.399999999999999	Fail	5	59	5
856	0.25465	5.6	4.9	52.0	38.0	10.5	Fail	5	59	5
510	0.5411	5.1	8.9	57.0	38.0	14.0	Fail	5	59	5
506	0.83831	3.5	8.8	42.0	38.0	12.3	Fail	5	59	5
851	0.84549	3.6	10.0	57.0	38.0	13.6	Fail	5	59	5
180	0.67041	4.9	10.0	54.0	38.0	14.9	Fail	5	59	5
1048	0.84372	4.1	8.7	58.0	38.0	12.799999999999999	Fail	5	59	5
542	0.82519	3.6	9.5	53.0	38.0	13.1	Fail	5	59	5
788	0.88867	3.6	8.2	62.0	38.0	11.799999999999999	Fail	5	59	5
1146	0.88527	3.0	7.9	44.0	38.0	10.9	Fail	5	59	5
207	0.6089	5.5	7.5	61.0	38.0	13.0	Fail	5	59	5
35	0.19568	5.3	9.8	74.0	38.0	15.100000000000001	Fail	5	59	5
609	0.8242	3.9	9.8	60.0	38.0	13.700000000000001	Fail	5	59	5
392	0.89973	4.0	7.1	70.0	38.0	11.1	Fail	5	59	5
1039	0.49036	5.6	5.1	64.0	38.0	10.7	Fail	5	59	5
163	0.86861	3.1	8.3	49.0	38.0	11.4	Fail	5	59	5
297	0.97799	1.1	9.5	47.0	37.0	10.6	Fail	4	57	4
1061	0.78473	3.9	9.7	47.0	37.0	13.6	Fail	4	57	4
268	0.81722	4.8	6.3	58.0	37.0	11.1	Fail	4	57	4
1258	0.63447	4.9	9.4	67.0	37.0	14.3	Fail	4	57	4
1023	0.4114	5.3	9.2	75.0	37.0	14.5	Fail	4	57	4
892	0.17185	5.1	8.2	68.0	37.0	13.299999999999999	Fail	4	57	4
444	0.86457	3.8	7.4	67.0	37.0	11.2	Fail	4	57	4
288	0.84829	4.3	6.8	66.0	37.0	11.1	Fail	4	57	4
894	0.6655	4.9	7.7	66.0	37.0	12.600000000000001	Fail	4	57	4
96	0.86422	3.2	9.3	48.0	37.0	12.5	Fail	4	57	4
25	0.85543	3.1	8.6	52.0	37.0	11.7	Fail	4	57	4
1022	0.78947	3.8	9.4	54.0	37.0	13.2	Fail	4	57	4
453	0.13583	5.1	9.6	48.0	37.0	14.7	Fail	4	57	4
665	0.4819	5.2	5.0	51.0	37.0	10.2	Fail	4	57	4
1384	0.52466	4.9	6.5	63.0	37.0	11.4	Fail	4	57	4
603	0.87052	3.6	8.8	64.0	37.0	12.4	Fail	4	57	4
1088	0.18073	5.2	8.6	60.0	37.0	13.8	Fail	4	57	4
359	0.56329	5.1	8.7	79.0	37.0	13.799999999999999	Fail	4	57	4
668	0.77535	4.1	8.4	52.0	37.0	12.5	Fail	4	57	4
1108	0.41176	5.3	9.4	77.0	37.0	14.7	Fail	4	57	4
1107	0.54347	5.3	8.7	78.0	37.0	14.0	Fail	4	57	4
1074	0.79418	4.0	8.0	45.0	37.0	12.0	Fail	4	57	4
566	0.22579	5.1	8.9	56.0	37.0	14.0	Fail	4	57	4
188	0.55008	5.3	8.1	74.0	37.0	13.399999999999999	Fail	4	57	4
1149	0.25129	5.0	8.3	73.0	37.0	13.3	Fail	4	57	4
800	0.15503	5.0	9.3	55.0	37.0	14.3	Fail	4	57	4
1271	0.47792	5.3	8.6	63.0	37.0	13.899999999999999	Fail	4	57	4
766	0.67271	5.0	9.4	60.0	37.0	14.4	Fail	4	57	4
1265	0.61793	5.1	7.8	60.0	37.0	12.899999999999999	Fail	4	57	4
573	0.57186	5.3	6.2	56.0	37.0	11.5	Fail	4	57	4
677	0.32891	4.4	5.9	66.0	36.0	10.3	Fail	3	54	3
620	0.16318	3.8	9.0	72.0	36.0	12.8	Fail	3	54	3
235	0.37775	4.2	8.9	62.0	36.0	13.100000000000001	Fail	3	54	3
972	0.18952	4.9	5.8	70.0	36.0	10.7	Fail	3	54	3
306	0.71734	4.4	9.1	64.0	36.0	13.5	Fail	3	54	3
1341	0.767	2.2	9.3	42.0	36.0	11.5	Fail	3	54	3
219	0.88537	3.2	8.7	55.0	36.0	11.899999999999999	Fail	3	54	3
1338	0.59011	3.7	8.6	57.0	36.0	12.3	Fail	3	54	3
474	0.29037	2.6	8.0	49.0	36.0	10.6	Fail	3	54	3
445	0.8593	3.4	8.8	52.0	36.0	12.200000000000001	Fail	3	54	3
429	0.28162	3.5	5.8	68.0	36.0	9.3	Fail	3	54	3
911	0.21619	3.4	9.0	47.0	36.0	12.4	Fail	3	54	3
475	0.80835	3.5	9.3	45.0	36.0	12.8	Fail	3	54	3
308	0.87831	3.8	5.4	51.0	36.0	9.2	Fail	3	54	3
293	0.47861	5.1	9.4	46.0	36.0	14.5	Fail	3	54	3
528	0.66597	3.5	8.6	62.0	36.0	12.1	Fail	3	54	3
864	0.72041	4.7	9.2	75.0	36.0	13.899999999999999	Fail	3	54	3
509	0.81153	3.9	9.7	62.0	36.0	13.6	Fail	3	54	3
877	0.83227	4.0	6.5	51.0	36.0	10.5	Fail	3	54	3
1167	0.14733	5.0	6.8	67.0	36.0	11.8	Fail	3	54	3
1165	0.52449	4.8	6.4	71.0	36.0	11.2	Fail	3	54	3
1018	0.29713	5.1	9.0	60.0	36.0	14.1	Fail	3	54	3
1221	0.85324	3.7	7.2	64.0	36.0	10.9	Fail	3	54	3
988	0.84803	3.2	8.5	50.0	36.0	11.7	Fail	3	54	3
1246	0.82936	3.2	8.9	40.0	36.0	12.100000000000001	Fail	3	54	3
120	0.85567	3.3	8.0	52.0	36.0	11.3	Fail	3	54	3
772	0.88559	3.6	7.0	66.0	36.0	10.6	Fail	3	54	3
779	0.52544	5.1	9.4	88.0	36.0	14.5	Fail	3	54	3
545	0.32883	5.2	6.0	55.0	36.0	11.2	Fail	3	54	3
548	0.68742	3.1	9.4	46.0	36.0	12.5	Fail	3	54	3
1070	0.52146	3.2	6.8	43.0	36.0	10.0	Fail	3	54	3
1143	0.25368	5.0	8.7	58.0	36.0	13.7	Fail	3	54	3
1262	0.27653	4.9	5.3	62.0	36.0	10.2	Fail	3	54	3
1276	0.12042	4.9	5.7	57.0	36.0	10.600000000000001	Fail	3	54	3
725	0.82056	3.6	8.3	51.0	36.0	11.9	Fail	3	54	3
757	0.49019	4.8	8.2	79.0	36.0	13.0	Fail	3	54	3
762	0.71814	4.0	9.1	59.0	36.0	13.1	Fail	3	54	3
599	0.85433	3.3	9.7	50.0	36.0	13.0	Fail	3	54	3
578	0.81887	3.8	6.1	53.0	36.0	9.899999999999999	Fail	3	54	3
242	0.25895	4.1	7.7	58.0	36.0	11.8	Fail	3	54	3
716	0.96773	1.4	7.9	46.0	36.0	9.3	Fail	3	54	3
1096	0.32819	5.0	9.1	56.0	36.0	14.1	Fail	3	54	3
717	0.3921	4.3	7.6	73.0	36.0	11.899999999999999	Fail	3	54	3
608	0.77191	4.7	8.6	73.0	36.0	13.3	Fail	3	54	3
229	0.67101	5.0	5.9	61.0	36.0	10.9	Fail	3	54	3
1385	0.88197	3.9	6.2	54.0	36.0	10.1	Fail	3	54	3
659	0.20737	3.3	5.8	41.0	36.0	9.1	Fail	3	54	3
1376	0.89307	3.0	8.5	85.0	35.0	11.5	Fail	2	45	2
1372	0.34515	1.2	8.7	47.0	35.0	9.899999999999999	Fail	2	45	2
1387	0.58119	3.7	9.7	79.0	35.0	13.399999999999999	Fail	2	45	2
661	0.16974	4.2	9.3	53.0	35.0	13.5	Fail	2	45	2
1352	0.45877	3.7	8.0	77.0	35.0	11.7	Fail	2	45	2
1173	0.4091	4.1	9.8	45.0	35.0	13.9	Fail	2	45	2
1172	0.271	3.2	8.6	51.0	35.0	11.8	Fail	2	45	2
1169	0.37656	1.2	9.2	51.0	35.0	10.399999999999999	Fail	2	45	2
1160	0.6796	3.5	8.4	47.0	35.0	11.9	Fail	2	45	2
682	0.29508	3.0	9.1	42.0	35.0	12.1	Fail	2	45	2
672	0.44953	3.9	6.5	74.0	35.0	10.4	Fail	2	45	2
1156	0.27347	4.0	8.2	57.0	35.0	12.2	Fail	2	45	2
325	0.69077	3.4	6.6	54.0	35.0	10.0	Fail	2	45	2
315	0.57808	4.8	9.2	57.0	35.0	14.0	Fail	2	45	2
310	0.10729	3.1	9.2	64.0	35.0	12.299999999999999	Fail	2	45	2
341	0.46384	4.2	8.5	53.0	35.0	12.7	Fail	2	45	2
337	0.87523	2.1	5.1	43.0	35.0	7.199999999999999	Fail	2	45	2
332	0.77282	3.0	8.2	43.0	35.0	11.2	Fail	2	45	2
329	0.39939	3.6	9.1	61.0	35.0	12.7	Fail	2	45	2
326	0.2478	4.0	8.4	49.0	35.0	12.4	Fail	2	45	2
1138	0.2313	3.2	8.9	44.0	35.0	12.100000000000001	Fail	2	45	2
1135	0.8525	3.8	8.8	73.0	35.0	12.600000000000001	Fail	2	45	2
622	0.71116	2.2	9.1	50.0	35.0	11.3	Fail	2	45	2
160	0.58556	3.6	8.8	59.0	35.0	12.4	Fail	2	45	2
655	0.2019	4.0	7.6	43.0	35.0	11.6	Fail	2	45	2
696	0.66417	3.6	8.1	54.0	35.0	11.7	Fail	2	45	2
694	0.46811	3.8	7.8	61.0	35.0	11.6	Fail	2	45	2
1176	0.41911	3.7	9.9	52.0	35.0	13.600000000000001	Fail	2	45	2
353	0.59765	3.2	9.6	52.0	35.0	12.8	Fail	2	45	2
1118	0.72462	2.3	9.2	44.0	35.0	11.5	Fail	2	45	2
1113	0.349	3.2	9.3	45.0	35.0	12.5	Fail	2	45	2
60	0.26423	4.3	8.0	66.0	35.0	12.3	Fail	2	45	2
58	0.73301	1.9	9.5	73.0	35.0	11.4	Fail	2	45	2
55	0.12011	4.0	6.1	55.0	35.0	10.1	Fail	2	45	2
1193	0.56499	3.9	5.3	63.0	35.0	9.2	Fail	2	45	2
303	0.63635	3.8	7.9	73.0	35.0	11.7	Fail	2	45	2
300	0.692	3.7	5.3	62.0	35.0	9.0	Fail	2	45	2
298	0.26428	4.5	9.0	63.0	35.0	13.5	Fail	2	45	2
1104	0.72802	3.4	9.2	46.0	35.0	12.6	Fail	2	45	2
611	0.25581	3.6	9.5	48.0	35.0	13.1	Fail	2	45	2
147	0.13291	3.6	8.2	56.0	35.0	11.799999999999999	Fail	2	45	2
624	0.48641	3.7	9.4	66.0	35.0	13.100000000000001	Fail	2	45	2
1102	0.73783	3.7	5.2	60.0	35.0	8.9	Fail	2	45	2
1087	0.26269	2.2	8.1	45.0	35.0	10.3	Fail	2	45	2
1083	0.51628	2.8	8.3	41.0	35.0	11.100000000000001	Fail	2	45	2
1075	0.47036	3.6	9.0	68.0	35.0	12.6	Fail	2	45	2
1069	0.74933	3.1	9.6	47.0	35.0	12.7	Fail	2	45	2
1067	0.69354	1.5	6.3	52.0	35.0	7.8	Fail	2	45	2
289	0.26956	3.2	8.5	49.0	35.0	11.7	Fail	2	45	2
1207	0.1152	5.0	8.1	78.0	35.0	13.1	Fail	2	45	2
1064	0.46638	3.8	5.6	61.0	35.0	9.399999999999999	Fail	2	45	2
1062	0.8657	1.4	10.0	55.0	35.0	11.4	Fail	2	45	2
185	0.37518	3.2	6.4	43.0	35.0	9.600000000000001	Fail	2	45	2
179	0.65421	3.9	8.1	69.0	35.0	12.0	Fail	2	45	2
586	0.51957	4.3	9.9	46.0	35.0	14.2	Fail	2	45	2
238	0.15744	3.6	7.9	52.0	35.0	11.5	Fail	2	45	2
706	0.86249	3.5	5.8	70.0	35.0	9.3	Fail	2	45	2
368	0.58405	3.5	9.9	55.0	35.0	13.4	Fail	2	45	2
1049	0.50693	1.4	9.7	49.0	35.0	11.1	Fail	2	45	2
1043	0.2878	3.8	8.3	53.0	35.0	12.100000000000001	Fail	2	45	2
389	0.54245	3.7	8.5	51.0	35.0	12.2	Fail	2	45	2
382	0.4798	1.3	7.1	51.0	35.0	8.4	Fail	2	45	2
376	0.36584	4.1	10.0	69.0	35.0	14.1	Fail	2	45	2
373	0.2199	3.7	9.3	62.0	35.0	13.0	Fail	2	45	2
263	0.77921	3.7	9.0	57.0	35.0	12.7	Fail	2	45	2
259	0.51349	4.8	9.9	63.0	35.0	14.7	Fail	2	45	2
1228	0.60193	3.5	9.4	40.0	35.0	12.9	Fail	2	45	2
1226	0.94631	1.8	8.2	48.0	35.0	10.0	Fail	2	45	2
1223	0.7575	3.8	9.6	69.0	35.0	13.399999999999999	Fail	2	45	2
1220	0.28962	3.3	8.1	52.0	35.0	11.399999999999999	Fail	2	45	2
75	0.14071	4.0	9.8	50.0	35.0	13.8	Fail	2	45	2
405	0.46714	3.4	5.5	52.0	35.0	8.9	Fail	2	45	2
1313	0.21483	4.0	6.1	75.0	35.0	10.1	Fail	2	45	2
1306	0.76245	2.4	8.4	44.0	35.0	10.8	Fail	2	45	2
140	0.62268	3.2	6.2	47.0	35.0	9.4	Fail	2	45	2
